aid,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType,creativeSize_cross
1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,1,1,2
3,3,3,3,3,3,2,2,3
4,4,4,4,4,4,2,2,4
5,5,5,5,5,4,1,3,5
6,6,6,6,3,5,3,4,3
7,4,7,7,3,4,2,2,3
8,7,8,8,1,5,4,4,1
9,8,9,9,6,6,1,3,6
10,5,5,10,5,4,1,3,5
11,9,10,11,6,6,1,3,6
12,10,11,12,1,5,5,4,1
13,11,12,13,7,6,1,3,7
14,1,13,14,8,7,1,1,8
15,12,14,15,9,5,6,4,9
16,13,15,16,3,8,7,2,3
17,14,16,17,3,9,8,4,3
18,15,17,18,4,10,9,2,4
19,1,1,19,8,1,1,1,8
20,4,18,20,3,3,2,2,3
21,16,19,21,2,11,1,3,2
22,17,20,22,3,3,1,1,3
23,18,21,23,3,12,1,3,3
24,19,22,24,10,2,1,3,10
25,20,23,25,3,13,10,4,3
26,7,8,26,1,5,4,4,1
27,21,24,27,3,3,2,2,3
28,11,25,28,3,6,1,3,3
29,22,26,29,5,5,3,4,5
30,1,1,30,1,1,1,1,1
31,4,27,31,3,3,2,2,3
32,23,28,32,2,14,1,1,2
33,24,29,33,8,15,1,1,8
34,21,24,34,3,3,2,2,3
35,25,30,35,4,16,1,3,4
36,26,31,36,3,4,2,2,3
37,27,32,37,4,13,1,3,4
38,28,33,38,1,5,11,4,1
39,29,34,39,11,5,12,4,11
40,26,35,40,3,4,2,2,3
41,30,36,41,12,17,1,3,12
42,31,37,42,4,18,1,3,4
43,32,38,43,13,19,1,3,13
44,21,39,44,4,3,2,2,4
45,33,40,45,14,6,1,3,14
46,7,8,46,1,5,4,4,1
47,34,41,47,6,6,1,3,6
48,35,42,48,3,11,1,3,3
49,29,43,49,2,20,13,4,2
50,36,44,50,3,4,2,2,3
51,37,45,51,3,14,14,2,3
52,38,46,52,3,3,15,2,3
53,39,47,53,7,15,1,3,7
54,40,48,54,2,11,1,3,2
55,41,49,55,4,3,2,2,4
56,12,50,56,3,5,6,4,3
57,42,51,57,5,21,1,3,5
58,12,52,58,3,5,6,4,3
59,29,53,59,3,20,13,4,3
60,43,54,60,14,6,1,3,14
61,7,55,61,4,5,16,4,4
62,44,56,62,13,19,1,3,13
63,19,57,63,4,6,1,3,4
64,45,58,64,5,20,17,4,5
65,21,59,65,4,3,2,2,4
66,27,60,66,15,13,1,3,15
67,29,53,67,3,9,13,4,3
68,46,61,68,5,20,18,4,5
69,29,62,69,2,5,12,4,2
70,47,63,70,3,22,1,1,3
71,3,3,71,3,3,2,2,3
72,48,64,72,5,23,1,1,5
73,49,65,73,7,24,1,3,7
74,50,66,74,6,6,1,3,6
75,29,34,75,11,5,12,4,11
76,51,67,76,1,25,1,1,1
77,52,68,77,4,6,1,1,4
78,19,69,78,4,6,1,3,4
79,51,70,79,1,25,1,1,1
80,53,71,80,3,26,19,2,3
81,1,72,81,1,25,1,1,1
82,3,73,82,3,3,2,2,3
83,27,32,83,4,13,1,3,4
84,51,67,84,7,25,1,1,7
85,1,72,85,12,25,1,1,12
86,54,74,86,3,6,1,3,3
87,55,75,87,12,27,1,3,12
88,47,63,88,3,28,1,1,3
89,56,76,89,14,6,1,3,14
90,4,77,90,3,4,2,2,3
91,4,78,91,3,3,2,2,3
92,4,79,92,4,4,2,2,4
93,52,80,93,2,29,1,1,2
94,43,81,94,14,6,1,3,14
95,29,82,95,1,5,12,4,1
96,57,83,96,3,30,20,2,3
97,7,84,97,1,5,16,4,1
98,18,85,98,4,12,1,3,4
99,4,86,99,4,4,2,2,4
100,58,87,100,3,20,21,4,3
101,1,88,101,1,7,1,1,1
102,29,82,102,1,5,12,4,1
103,59,89,103,12,17,1,3,12
104,4,90,104,4,4,2,2,4
105,3,91,105,3,4,2,2,3
106,23,92,106,1,14,1,1,1
107,41,93,107,4,3,2,2,4
108,43,94,108,14,6,1,3,14
109,27,32,109,4,13,1,3,4
110,60,95,110,7,17,1,3,7
111,28,33,111,1,5,11,4,1
112,48,96,112,5,23,1,1,5
113,23,97,113,5,14,1,1,5
114,1,98,114,1,25,1,1,1
115,46,99,115,1,20,18,4,1
116,61,100,116,3,5,22,4,3
117,12,101,117,3,5,23,4,3
118,27,60,118,15,13,1,3,15
119,62,102,119,4,10,24,2,4
120,63,103,120,5,31,25,4,5
121,64,104,121,5,32,26,4,5
122,17,20,122,3,3,1,1,3
123,23,28,123,2,14,1,1,2
124,27,32,124,4,13,1,3,4
125,65,105,125,4,33,1,3,4
126,46,61,126,5,20,18,4,5
127,66,106,127,2,34,1,3,2
128,67,107,128,1,20,27,4,1
129,68,108,129,3,3,2,2,3
130,29,53,130,3,9,13,4,3
131,1,13,131,13,7,1,1,13
132,23,92,132,1,35,1,1,1
133,28,109,133,1,36,28,4,1
134,69,110,134,5,20,29,4,5
135,15,111,135,4,3,2,2,4
136,43,112,136,14,6,1,3,14
137,70,113,137,2,5,30,4,2
138,1,114,138,8,7,1,1,8
139,71,115,139,3,4,1,3,3
140,17,20,140,3,3,1,1,3
141,72,116,141,5,37,1,3,5
142,61,117,142,5,5,31,4,5
143,30,118,143,3,17,1,3,3
144,29,119,144,5,20,13,4,5
145,73,120,145,12,3,2,2,12
146,51,121,146,1,7,1,1,1
147,74,122,147,2,38,1,3,2
148,21,123,148,3,3,2,2,3
149,50,124,149,6,6,1,3,6
150,21,125,150,3,4,2,2,3
151,75,126,151,3,39,32,2,3
152,46,127,152,4,20,18,4,4
153,26,128,153,4,3,2,2,4
154,54,129,154,4,12,1,3,4
155,3,73,155,3,3,2,2,3
156,20,130,156,5,13,10,4,5
157,74,122,157,2,38,1,3,2
158,76,131,158,3,39,33,2,3
159,29,119,159,5,9,13,4,5
160,1,72,160,1,25,1,1,1
161,67,107,161,1,20,27,4,1
162,77,132,162,3,40,1,2,3
163,1,133,163,13,7,1,1,13
164,29,134,164,4,20,13,4,4
165,17,20,165,3,8,1,1,3
166,27,60,166,15,13,1,3,15
167,78,135,167,6,6,1,3,6
168,54,129,168,4,12,1,3,4
169,79,136,169,15,11,1,3,15
170,34,41,170,6,6,1,3,6
171,43,137,171,14,6,1,3,14
172,3,138,172,3,3,2,2,3
173,76,131,173,3,39,33,2,3
